Person,Model,Tag,Wiki Similarity,Wiki Verdict,Wiki Missing Keywords,Wikidata Similarity,Wikidata Verdict,Facts Matched,Facts Total,KG Similarity,KG Verdict,KG Missing Keywords,Prompt Repeated,Run Time (s)
Marie Curie,gpt2,sampling,0.5263839960098267,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.36423468589782715,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,31,0.5551162362098694,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,14.13
Søren Bjerg,gpt2,sampling,0.47186970710754395,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.4393027424812317,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,28,0.613099217414856,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,6.55
Albert Einstein,gpt2,sampling,0.6327250003814697,✅ GPT-2 output looks consistent with Wikipedia.,27,0.5964466333389282,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,21,0.613125741481781,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,8.18
Timothée Chalamet,gpt2,sampling,0.5083602070808411,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.29378703236579895,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.4958483576774597,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.33
Barack Obama,gpt2,sampling,0.5439910292625427,⚠️ GPT-2 output is potentially hallucinated or unrelated.,18,0.3973543047904968,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.55607008934021,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,17.64
Serena Williams,gpt2,sampling,0.45495185256004333,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.5490180253982544,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,4,27,0.498338520526886,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,6.24
Lionel Messi,gpt2,sampling,0.5950419306755066,⚠️ GPT-2 output is potentially hallucinated or unrelated.,61,0.5125852823257446,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.567493200302124,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.33
Cleopatra,gpt2,sampling,0.4524461030960083,⚠️ GPT-2 output is potentially hallucinated or unrelated.,41,0.38576072454452515,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,11,0.4838147759437561,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,6,No,12.27
Rosalind Franklin,gpt2,sampling,0.44004350900650024,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.4795624017715454,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,41,0.4209461510181427,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,15.28
Nikola Tesla,gpt2,sampling,0.5426135659217834,⚠️ GPT-2 output is potentially hallucinated or unrelated.,12,0.3913044333457947,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,34,0.5143585801124573,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,14.54
