Person,Model,Tag,Wiki Similarity,Wiki Verdict,Wiki Missing Keywords,Wikidata Similarity,Wikidata Verdict,Facts Matched,Facts Total,KG Similarity,KG Verdict,KG Missing Keywords,Prompt Repeated,Run Time (s)
Marie Curie,gpt2,sampling,0.4348885118961334,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.22985026240348816,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,31,0.45084571838378906,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.36
Søren Bjerg,gpt2,sampling,0.539563000202179,⚠️ GPT-2 output is potentially hallucinated or unrelated.,58,0.49314939975738525,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,28,0.7125142216682434,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,5.48
Albert Einstein,gpt2,sampling,0.4015898108482361,⚠️ GPT-2 output is potentially hallucinated or unrelated.,27,0.3791128695011139,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.4600211977958679,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,6,No,12.85
Timothée Chalamet,gpt2,sampling,0.277957558631897,⚠️ GPT-2 output is potentially hallucinated or unrelated.,16,0.231296107172966,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.3349930942058563,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.47
Barack Obama,gpt2,sampling,0.4296589493751526,⚠️ GPT-2 output is potentially hallucinated or unrelated.,17,0.3283214569091797,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.41705721616744995,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,5.43
Serena Williams,gpt2,sampling,0.4934483766555786,⚠️ GPT-2 output is potentially hallucinated or unrelated.,20,0.5780622959136963,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,5,27,0.5219626426696777,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,11.52
Lionel Messi,gpt2,sampling,0.5010647773742676,⚠️ GPT-2 output is potentially hallucinated or unrelated.,71,0.5266464948654175,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,15,0.5774887800216675,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,5.89
Billie Eilish,gpt2,sampling,0.22030499577522278,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.38379165530204773,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.3810531198978424,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.48
Cleopatra,gpt2,sampling,0.4395667314529419,⚠️ GPT-2 output is potentially hallucinated or unrelated.,39,0.2934646010398865,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,11,0.4844668209552765,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,6,No,11.96
Rosalind Franklin,gpt2,sampling,0.37778469920158386,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.3268349766731262,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.32414960861206055,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,11.6
Nikola Tesla,gpt2,sampling,0.6126846075057983,✅ GPT-2 output looks consistent with Wikipedia.,12,0.4294787645339966,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.5629626512527466,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,11.02
Elon Musk,gpt2,sampling,0.5776432752609253,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.6065739989280701,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,15,0.5582188963890076,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,4.45
Anne Frank,gpt2,sampling,0.49006181955337524,⚠️ GPT-2 output is potentially hallucinated or unrelated.,35,0.2476171851158142,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,35,0.41403019428253174,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.46
Taylor Swift,gpt2,sampling,0.5785490274429321,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.42295509576797485,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.657142698764801,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.17
Emily King,gpt2,sampling,0.2085033506155014,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.2972200810909271,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.2918756306171417,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.48
Marie Curie,gpt2-medium,sampling,0.09884092211723328,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.046961721032857895,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,31,0.13778868317604065,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.77
Søren Bjerg,gpt2-medium,sampling,0.3858661949634552,⚠️ GPT-2 output is potentially hallucinated or unrelated.,57,0.3370644450187683,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,28,0.5236245393753052,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,15.5
Albert Einstein,gpt2-medium,sampling,0.5073984861373901,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.5118006467819214,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.4398235082626343,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,Yes,21.98
Timothée Chalamet,gpt2-medium,sampling,0.45055264234542847,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.26380935311317444,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.48466092348098755,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.65
Barack Obama,gpt2-medium,sampling,0.1561228632926941,⚠️ GPT-2 output is potentially hallucinated or unrelated.,18,0.3077237606048584,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.17381612956523895,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.6
Serena Williams,gpt2-medium,sampling,0.19036829471588135,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.30931293964385986,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,27,0.19601207971572876,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.44
Lionel Messi,gpt2-medium,sampling,0.42019179463386536,⚠️ GPT-2 output is potentially hallucinated or unrelated.,71,0.3827943205833435,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.40624409914016724,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,25.35
Billie Eilish,gpt2-medium,sampling,0.34130722284317017,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.32550370693206787,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.3919364809989929,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.05
Cleopatra,gpt2-medium,sampling,0.3419009745121002,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.2770928144454956,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,11,0.3694518804550171,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,22.13
Rosalind Franklin,gpt2-medium,sampling,0.5632976293563843,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.5030312538146973,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,5,41,0.5529718399047852,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,7,No,29.58
Nikola Tesla,gpt2-medium,sampling,0.32654765248298645,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.21703843772411346,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,49,0.3329566717147827,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.32
Elon Musk,gpt2-medium,sampling,0.15773692727088928,⚠️ GPT-2 output is potentially hallucinated or unrelated.,27,0.11827307939529419,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.148026704788208,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.23
Anne Frank,gpt2-medium,sampling,0.5223785638809204,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.44624900817871094,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.4624488353729248,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,24.57
Taylor Swift,gpt2-medium,sampling,0.3240202069282532,⚠️ GPT-2 output is potentially hallucinated or unrelated.,36,0.38058316707611084,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.36452072858810425,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,25.09
Emily King,gpt2-medium,sampling,0.364768922328949,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.3975086212158203,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.4960464537143707,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,9.28
